"Merchant ID",Merchant,Website,Currency,"Business Categories",MCC,"Risk Level","Sales Volume","Gross Revenue"
1148,"HC Se",https://thcservers.com,USD,"Web hosting",,Medium,6184.17,320.01
1151,ONPHA,https://moja-natura.com,EUR,"Beauty and fragrances",,Low,2158.45,477.64
1161,apnet,https://revealme.vip,GBP,"Adult entertainment",,Low,0.00,2008.41
1166,"AB Ex",https://fibreblend.com,EUR,"Vitamins and food supplements",,Low,32.00,4.22
1167,NNOVA,https://detailingstorebg.com,EUR,"Car parts/ accessories",,Low,617.18,30.62
1170,"AB De",https://prezervatyvai.com,EUR,"Adult products",,Low,770.43,119.94
1171,eofil,https://auch.store,EUR,"Clothing and shoes",,Low,273.00,24.82
1179,ignit,https://hubscort.com,GBP,"Escort Advertising",,Low,8.97,3.61
1184,"min N",https://amanef.fr,EUR,"Beauty and fragrances",,Low,0.00,1.04
1189,"ody 8",https://hostasset.net,USD,"Web hosting",,Low,312.90,121.96
